employee,degree
Stenig Fusil,2.9138211382113823
Sven Flecha,3.0886178861788616
Isia Vann,2.870731707317073
Loreto Bodrogi,3.7227642276422763
Felix Balas,3.0325203252032518
Ingrid Barranco,1.3943089430894309
Elsa Orilla,0.5699186991869919
Marin Onda,1.1520325203252033
Hideki Cocinaro,2.9829268292682927
Birgitta Frente,3.1284552845528455
Lidelse Dedos,2.001626016260163
Inga Ferro,1.7959349593495935
Axel Calzas,0.8617886178861789
Gustav Cazar,1.0796747967479674
Minke Mies,0.7447154471544716
Vira Frente,0.7040650406504065
Brand Tempestad,0.6577235772357723
Orhan Strum,0.6430894308943089
Kare Orilla,0.3154471544715447
